slice,name,structure,cation,theoretical m/z_x,theoretical m/z_y,min,max,num_pixels,mz_estimated
22,Cer,40:2,H1,620.5976,620.5976,620.596,620.5989000000001,28139.0,620.5974
22,Cer,40:1,H1,622.61328,622.61328,622.6113,622.6145,19671.0,622.613
22,Cer,38:4,k,626.490911,626.490911,626.489,626.4920000000001,825.0,626.4907000000001
23,LPC,16:0,H1,496.33975,496.33975,496.338,496.3416,23159.0,496.3399
23,Cer,36:1,k,604.506541,604.506541,604.5046,604.5085,1843.0,604.5064
23,Cer,40:2,H1,620.5976,620.5976,620.5955,620.5991,31153.0,620.5974
23,Cer,40:1,H1,622.61328,622.61328,622.6112,622.6148000000001,20546.0,622.613
23,Cer,38:4,k,626.490911,626.490911,626.4887,626.4918,636.0,626.4906000000001
24,LPC,16:0,H1,496.33975,496.33975,496.3379000000001,496.3416,46369.0,496.3399
24,Cer,36:1,k,604.506541,604.506541,604.5048,604.5084,5791.0,604.5064
24,Cer,40:2,H1,620.5976,620.5976,620.5953000000001,620.5989000000001,36257.0,620.5974
24,Cer,40:1,H1,622.61328,622.61328,622.6111000000001,622.6151,25286.0,622.613
24,Cer,38:4,k,626.490911,626.490911,626.489,626.4921,690.0,626.4907000000001
25,LPC,16:0,H1,496.33975,496.33975,496.3381,496.3414,44877.0,496.3399
25,Cer,36:1,k,604.506541,604.506541,604.5043000000001,604.5081,5283.0,604.5064
25,Cer,40:2,H1,620.5976,620.5976,620.5958,620.5989000000001,32686.0,620.5974
25,Cer,40:1,H1,622.61328,622.61328,622.611,622.6151,23810.0,622.613
25,Cer,38:4,k,626.490911,626.490911,626.4887,626.4919,607.0,626.4906000000001
26,LPC,16:0,H1,496.33975,496.33975,496.3382,496.3414,46992.0,496.3399
26,Cer,36:1,k,604.506541,604.506541,604.5043000000001,604.5085,2758.0,604.5064
26,Cer,40:2,H1,620.5976,620.5976,620.5956,620.5987,33901.0,620.5974
26,Cer,40:1,H1,622.61328,622.61328,622.611,622.6149,25169.0,622.613
26,Cer,38:4,k,626.490911,626.490911,626.4891,626.4924,733.0,626.4906000000001
27,LPC,16:0,H1,496.33975,496.33975,496.3362,496.3414,64411.0,496.3395
27,Cer,36:1,k,604.506541,604.506541,604.5045,604.5087,16886.0,604.5065000000001
27,Cer,40:2,H1,620.5976,620.5976,620.5954,620.5996,38053.0,620.5975000000001
27,Cer,40:1,H1,622.61328,622.61328,622.6109,622.6152000000001,30026.0,622.613
27,Cer,38:4,k,626.490911,626.490911,626.4887,626.4926,1014.0,626.4906000000001
28,LPC,16:0,H1,496.33975,496.33975,496.3365,496.3425,44015.0,496.3403
28,Cer,36:1,k,604.506541,604.506541,604.5049,604.5088000000001,1463.0,604.5065000000001
28,Cer,40:2,H1,620.5976,620.5976,620.5958,620.5997,29008.0,620.5975000000001
28,Cer,40:1,H1,622.61328,622.61328,622.6111000000001,622.6154,20106.0,622.6132
28,Cer,38:4,k,626.490911,626.490911,626.4893000000001,626.4926,430.0,626.491
29,LPC,16:0,H1,496.33975,496.33975,496.3373,496.3416,59088.0,496.3403
29,Cer,36:1,k,604.506541,604.506541,604.5048,604.5087,1662.0,604.5064
29,Cer,40:2,H1,620.5976,620.5976,620.5957000000001,620.5991,23925.0,620.5975000000001
29,Cer,40:1,H1,622.61328,622.61328,622.6112,622.6149,16986.0,622.6132
29,Cer,38:4,k,626.490911,626.490911,626.489,626.4921,236.0,626.4909
30,LPC,16:0,H1,496.33975,496.33975,496.3384,496.3419,65269.0,496.3399
30,Cer,36:1,k,604.506541,604.506541,604.5043000000001,604.5086,7552.0,604.5062
30,Cer,40:2,H1,620.5976,620.5976,620.5958,620.5993000000001,27227.0,620.5974
30,Cer,40:1,H1,622.61328,622.61328,622.6109,622.6149,20824.0,622.613
30,Cer,38:4,k,626.490911,626.490911,626.4892,626.4925000000001,750.0,626.4907000000001
31,LPC,16:0,H1,496.33975,496.33975,496.3370000000001,496.3418,54637.0,496.3399
31,Cer,36:1,k,604.506541,604.506541,604.5046,604.5086,4573.0,604.5064
31,Cer,40:2,H1,620.5976,620.5976,620.5959,620.5994000000001,26533.0,620.5974
31,Cer,40:1,H1,622.61328,622.61328,622.6113,622.6148000000001,20249.0,622.613
31,Cer,38:4,k,626.490911,626.490911,626.4892,626.4924,751.0,626.4904
